cell_type,current_sp,time,current,voltage
Samsung INR21700-40T A,21,2019-11-30T20:50:01.282640,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:01.883705,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:02.501668,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:03.102837,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:03.741574,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:04.334846,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:04.928132,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:05.529176,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:06.138347,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:06.747605,21.06,3.691
Samsung INR21700-40T A,21,2019-11-30T20:50:07.355475,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:07.962888,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:08.569992,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:09.176842,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:09.782814,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:10.389012,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:10.998723,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:11.606103,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:12.213556,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:12.820797,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:13.428561,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:14.035622,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:14.643698,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:15.249645,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:15.855437,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:16.461416,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:17.099055,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:17.691110,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:18.282207,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:18.889886,21.06,3.674
Samsung INR21700-40T A,21,2019-11-30T20:50:19.526956,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:20.118035,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:20.716941,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:21.321981,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:21.927325,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:22.533470,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:23.141269,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:23.749250,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:24.357358,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:24.964236,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:25.578053,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:26.185012,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:26.792961,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:27.400191,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:28.007304,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:28.613069,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:29.226744,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:29.833693,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:30.442028,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:31.049084,21.06,3.657
Samsung INR21700-40T A,21,2019-11-30T20:50:31.654995,21.06,3.641
Samsung INR21700-40T A,21,2019-11-30T20:50:32.259775,21.06,3.641
