cell_type,current_sp,time,current,voltage
GREPOW - 32-0002,120,2019-11-03T16:33:12.298243,0.07,4.222
GREPOW - 32-0002,120,2019-11-03T16:33:12.966009,0.07,4.222
GREPOW - 32-0002,120,2019-11-03T16:33:13.615427,0.07,4.222
GREPOW - 32-0002,120,2019-11-03T16:33:14.265791,0.07,4.222
GREPOW - 32-0002,120,2019-11-03T16:33:14.907550,0.07,4.222
GREPOW - 32-0002,120,2019-11-03T16:33:15.655709,120.0,4.039
GREPOW - 32-0002,120,2019-11-03T16:33:16.274246,120.0,4.022
GREPOW - 32-0002,120,2019-11-03T16:33:16.925787,120.0,4.006
GREPOW - 32-0002,120,2019-11-03T16:33:17.537489,120.0,4.006
GREPOW - 32-0002,120,2019-11-03T16:33:18.143163,120.0,4.006
GREPOW - 32-0002,120,2019-11-03T16:33:18.779269,120.0,3.989
GREPOW - 32-0002,120,2019-11-03T16:33:19.376303,120.0,3.989
GREPOW - 32-0002,120,2019-11-03T16:33:19.972873,120.0,3.989
GREPOW - 32-0002,120,2019-11-03T16:33:20.569058,120.0,3.989
GREPOW - 32-0002,120,2019-11-03T16:33:21.195021,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:21.790229,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:22.387085,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:22.988421,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:23.591018,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:24.200953,120.0,3.973
GREPOW - 32-0002,120,2019-11-03T16:33:24.804726,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:25.408763,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:26.011419,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:26.624119,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:27.227993,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:27.832191,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:28.436830,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:29.039683,120.0,3.956
GREPOW - 32-0002,120,2019-11-03T16:33:29.649267,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:30.260538,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:30.870051,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:31.471891,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:32.080558,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:32.688917,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:33.292947,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:33.899111,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:34.506803,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:35.113852,120.0,3.94
GREPOW - 32-0002,120,2019-11-03T16:33:35.750715,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:36.348652,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:36.948375,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:37.545963,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:38.153120,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:38.751093,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:39.356838,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:39.968324,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:40.567761,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:41.173997,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:41.779846,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:42.386605,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:42.992162,120.0,3.923
GREPOW - 32-0002,120,2019-11-03T16:33:43.597555,120.0,3.923
